Years;Unknown;Acropora;Agaricia;Cladocora ;Colpophyllia;Dendrogyra;Dichocoenia;Diploria;Eusmilia ;Favia;Isophyllia;Leptoseris;Madracis;Manicina;Meandrina;Montastrea;Mussa;Mycetophyllia;Orbicella;Porites;Scolymia;Siderastrea;Stephanocoenia
1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1999;0;5;15;1;4;1;1;4;4;2;1;1;3;2;1;5;0;2;17;14;2;5;2
2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0
2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
2002;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;13;0;0;0;0
2003;0;6;16;0;2;1;3;8;3;2;3;2;6;3;2;5;1;8;12;13;1;8;3
2004;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;4;0
2005;0;2;21;0;7;2;5;19;1;4;0;1;28;0;3;6;1;1;39;27;3;22;2
2006;0;1;4;0;1;0;1;3;0;0;0;1;3;0;2;1;0;0;15;21;0;18;0
2007;0;0;0;0;4;0;1;2;0;0;0;0;0;0;3;6;0;0;60;0;0;19;0
2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
